Decision,LapStarted_Pre,Car1,Car2,P1_Pre,P2_Pre,P1_Post,P2_Post,LapDiff,LapsSincePit1_Pre,LapsSincePit2_Pre,LSPDiff,InLap1_Pre,InLap2_Pre,OutLapCompleted1_Pre,Stint1_Pre,OutLapCompleted2_Pre,Stint2_Pre,Retired2_Pre,LapStarted_Post,InLap1_Post,OutLapCompleted1_Post,Stint1_Post,Stint+11_Post,Retired1_Post,LapsSincePit1_Post,InLap2_Post,OutLapCompleted2_Post,Stint2_Post,Stint+12_Post,Retired2_Post,LapsSincePit2_Post
Pit Overtake,2,12,18,21,10,18,20,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,12,4,21,20,18,19,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,26,18,14,10,17,20,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,20,10,15,8,15,16,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,20,18,15,10,15,20,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,20,26,15,14,15,17,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,2,4,18,20,10,19,20,0,1,1,0,1,1,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
Pit Overtake,10,12,27,18,8,16,18,0,7,9,2,0,1,0,2,0,1,0,12,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,10,12,7,18,13,16,20,0,7,9,2,0,1,0,2,0,1,0,12,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,10,10,27,14,8,13,18,0,7,9,2,0,1,0,2,0,1,0,12,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,10,10,7,14,13,13,20,0,7,9,2,0,1,0,2,0,1,0,12,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,10,21,27,12,8,17,18,0,9,9,0,0,1,0,1,0,1,0,12,0,0,2,3,0,0,0,1,2,3,0,1
Pit Overtake,10,4,7,20,13,19,20,0,7,9,2,0,1,0,2,0,1,0,12,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,11,10,21,12,11,17,18,0,8,10,2,1,1,0,2,0,1,0,13,0,1,3,4,0,1,0,1,2,3,0,1
Pit Overtake,11,26,10,14,12,12,17,0,8,8,0,0,1,0,2,0,2,0,13,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,11,26,21,14,11,12,18,0,8,10,2,0,1,0,2,0,1,0,13,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,11,8,10,15,12,14,17,0,10,8,2,0,1,0,1,0,2,0,13,0,0,2,3,0,0,0,1,3,4,0,1
Pit Overtake,11,8,21,15,11,14,18,0,10,10,0,0,1,0,1,0,1,0,13,0,0,2,3,0,0,0,1,2,3,0,1
Pit Overtake,14,19,3,8,7,9,11,0,13,13,0,0,1,0,1,0,1,0,16,0,0,2,3,0,0,0,1,2,3,0,1
Pit Overtake,28,15,5,4,2,3,5,0,27,27,0,0,1,0,1,0,1,0,30,0,0,2,3,0,0,0,1,2,3,0,1
Pit Overtake,28,15,98,4,3,3,9,0,27,27,0,0,1,0,1,0,1,0,30,0,0,2,3,0,0,0,1,2,3,0,1
Pit Overtake,29,18,15,5,4,5,14,0,26,28,2,0,1,0,2,0,1,0,31,0,0,3,4,0,0,0,1,2,3,0,1
Pit Overtake,31,12,1,18,4,17,18,0,19,18,1,0,1,0,3,0,2,0,33,0,0,4,5,0,0,0,1,3,4,0,1
Pit Overtake,35,8,10,14,8,14,16,0,22,23,1,0,1,0,2,0,3,0,37,0,0,3,4,0,0,0,1,4,5,0,1
Pit Overtake,35,8,7,14,7,14,15,0,22,24,2,0,1,0,2,0,2,0,37,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,36,19,14,8,6,12,13,0,20,21,1,0,1,0,2,0,2,0,38,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,36,26,14,9,6,9,13,0,23,21,2,0,1,0,3,0,2,0,38,0,0,4,5,0,0,0,1,3,4,0,1
Pit Overtake,56,5,28,2,1,1,8,0,27,26,1,0,1,0,2,0,2,0,58,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,56,15,28,7,1,5,8,0,26,26,0,0,1,0,2,0,2,0,58,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,56,15,98,7,3,5,9,0,26,27,1,0,1,0,2,0,2,0,58,0,0,3,4,0,0,0,1,3,4,0,1
Pit Overtake,57,18,5,3,1,4,5,0,26,28,2,0,1,0,3,0,2,0,59,0,0,4,5,0,0,0,1,3,4,0,1
Pit Overtake,57,1,15,9,7,9,13,0,25,27,2,0,1,0,3,0,2,0,59,0,0,4,5,0,0,0,1,3,4,0,1
Pit Overtake,57,1,20,9,8,9,16,0,25,27,2,0,1,0,3,0,3,0,59,0,0,4,5,0,0,0,1,4,5,0,1
Pit Overtake,59,26,21,15,14,16,17,0,21,25,4,1,1,0,4,0,3,0,61,0,1,5,6,0,1,0,1,4,5,0,1
Pit Overtake,60,8,10,16,9,13,14,0,23,24,1,0,1,0,3,0,4,0,62,0,0,4,5,0,0,0,1,5,6,0,1
Pit Overtake,60,8,7,16,11,13,15,0,23,24,1,0,1,0,3,0,3,0,62,0,0,4,5,0,0,0,1,4,5,0,1
Undercut,1,4,18,21,12,19,20,1,0,0,0,1,0,0,1,0,1,0,4,0,1,2,3,0,1,0,1,2,3,0,1
UnderCut,10,7,21,13,12,16,18,1,9,9,0,1,0,0,1,0,1,0,13,0,0,2,3,0,2,0,1,2,3,0,1
UnderCut,14,14,19,9,8,11,13,1,13,13,0,1,0,0,1,0,1,0,17,0,0,2,3,0,2,0,1,2,3,0,1
,29,18,15,5,4,10,14,1,26,28,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,2
,56,5,28,2,1,5,7,1,27,26,1,0,1,0,2,0,2,0,59,0,1,3,4,0,1,0,0,3,4,0,2
,57,1,20,9,8,13,15,1,25,27,2,0,1,0,3,0,3,0,60,0,1,4,5,0,1,0,0,4,5,0,2
,61,2,9,2,1,4,5,1,27,19,8,1,0,0,3,0,3,0,64,0,0,4,5,0,2,0,1,4,5,0,1
,10,26,27,16,8,16,20,2,7,9,2,0,1,0,2,0,1,0,14,0,1,3,4,0,1,0,0,2,3,0,3
,10,8,27,17,8,17,20,2,9,9,0,0,1,0,1,0,1,0,14,0,1,2,3,0,1,0,0,2,3,0,3
,10,1,27,11,8,12,20,2,9,9,0,0,1,0,1,0,1,0,14,0,1,2,3,0,1,0,0,2,3,0,3
Undercut,12,1,3,10,7,10,11,2,11,11,0,1,0,0,1,0,1,0,16,0,0,2,3,0,3,0,1,2,3,0,1
Undercut,12,1,14,10,9,10,12,2,11,11,0,1,0,0,1,0,1,0,16,0,0,2,3,0,3,0,1,2,3,0,1
,31,2,1,6,4,15,16,2,14,18,4,0,1,0,2,0,2,0,35,0,1,3,4,0,1,0,0,3,4,0,3
,60,19,10,10,9,11,13,2,22,24,2,0,1,0,3,0,4,0,64,0,1,4,5,0,1,0,0,5,6,0,3
,12,1,19,10,8,9,13,3,11,11,0,1,0,0,1,0,1,0,17,0,0,2,3,0,4,0,1,2,3,0,1
,33,21,26,14,12,15,16,4,21,20,1,1,0,0,2,0,3,0,39,0,0,3,4,0,5,0,1,4,5,0,1
,10,7,19,13,9,12,13,5,9,9,0,1,0,0,1,0,1,0,17,0,0,2,3,0,6,0,1,2,3,0,1
,2,18,27,10,9,15,18,8,1,1,0,1,0,0,1,0,1,0,12,0,0,2,3,0,9,0,1,2,3,0,1
,2,26,27,14,9,12,18,8,1,1,0,1,0,0,1,0,1,0,12,1,0,2,3,0,9,0,1,2,3,0,1
,2,20,27,15,9,11,18,8,1,1,0,1,0,0,1,0,1,0,12,0,0,2,3,0,9,0,1,2,3,0,1
,2,20,21,15,13,10,18,9,1,1,0,1,0,0,1,0,1,0,13,0,0,2,3,0,10,0,1,2,3,0,1
,2,18,3,10,6,8,11,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,2,20,3,15,6,7,11,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,2,20,14,15,12,7,12,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,16,2,98,5,4,7,9,12,15,15,0,1,0,0,1,0,1,0,30,0,0,2,3,0,13,0,1,2,3,0,1
,29,9,15,7,4,5,6,12,12,28,16,0,1,0,2,0,1,0,43,0,1,3,4,0,1,0,0,2,3,0,13
,29,9,20,7,6,5,7,12,12,26,14,0,1,0,2,0,2,0,43,0,1,3,4,0,1,0,0,3,4,0,13
,2,20,19,15,11,7,13,13,1,1,0,1,0,0,1,0,1,0,17,0,0,2,3,0,14,0,1,2,3,0,1
,2,18,9,10,1,6,7,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,18,2,10,7,6,8,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,20,9,15,1,5,7,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,20,2,15,7,5,8,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,14,3,98,7,4,8,9,14,13,13,0,1,0,0,1,0,1,0,30,0,0,2,3,0,15,0,1,2,3,0,1
,15,19,15,7,6,12,14,14,14,14,0,1,0,0,1,0,1,0,31,0,0,2,3,0,15,0,1,2,3,0,1
,14,3,15,7,6,7,14,15,13,13,0,1,0,0,1,0,1,0,31,0,0,2,3,0,16,0,1,2,3,0,1
,14,14,15,9,6,9,14,15,13,13,0,1,0,0,1,0,1,0,31,0,0,2,3,0,16,0,1,2,3,0,1
,15,18,19,9,7,10,12,15,12,14,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,16
,12,1,98,10,4,6,9,16,11,11,0,1,0,0,1,0,1,0,30,0,0,2,3,0,17,0,1,2,3,0,1
,61,8,10,15,10,16,18,16,24,0,24,1,0,0,3,0,5,0,79,0,0,4,5,0,17,0,1,6,7,0,1
,12,26,15,12,6,13,14,17,9,11,2,1,0,0,2,0,1,0,31,0,0,3,4,0,18,0,1,2,3,0,1
,12,26,20,12,11,13,16,17,9,9,0,1,0,0,2,0,2,0,31,0,0,3,4,0,18,0,1,3,4,0,1
,12,1,15,10,6,4,14,17,11,11,0,1,0,0,1,0,1,0,31,1,0,2,3,0,18,0,1,2,3,0,1
,11,10,15,12,6,11,14,18,8,10,2,1,0,0,2,0,1,0,31,0,0,3,4,0,19,0,1,2,3,0,1
,12,18,26,15,12,10,13,18,9,9,0,0,1,0,2,0,2,0,32,0,1,3,4,0,1,0,0,3,4,0,19
,12,18,8,15,14,10,17,18,9,11,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,19
,10,7,15,13,6,10,14,19,9,9,0,1,0,0,1,0,1,0,31,0,0,2,3,0,20,0,1,2,3,0,1
,11,18,12,17,16,10,18,19,8,8,0,0,1,0,2,0,2,0,32,0,1,3,4,0,1,1,0,3,4,0,20
,11,18,21,17,11,10,15,19,8,10,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,20
,37,3,28,4,2,7,8,19,22,7,15,1,0,0,2,0,2,0,58,0,0,3,4,0,20,0,1,3,4,0,1
,37,3,5,4,3,3,5,20,22,8,14,1,0,0,2,0,2,0,59,0,0,3,4,0,21,0,1,3,4,0,1
,37,15,26,9,8,13,15,20,7,24,17,0,1,0,2,0,3,0,59,0,1,3,4,0,1,1,0,4,5,0,21
,59,21,15,14,13,9,12,20,25,1,24,1,0,0,3,1,3,0,81,0,0,4,5,0,21,0,1,4,5,0,1
,58,1,15,6,5,5,12,21,26,0,26,1,0,0,3,0,3,0,81,0,0,4,5,0,22,0,1,4,5,0,1
,36,18,14,7,6,7,8,22,5,21,16,0,1,0,3,0,2,0,60,0,1,4,5,0,1,1,0,3,4,0,23
,36,1,8,16,13,13,16,22,4,23,19,0,1,0,3,0,2,0,60,0,1,4,5,0,1,0,0,3,4,0,23
,33,2,28,4,2,4,8,23,16,3,13,1,0,0,2,0,2,0,58,0,0,3,4,0,24,0,1,3,4,0,1
,35,18,10,9,8,7,9,23,4,23,19,0,1,0,3,0,3,0,60,0,1,4,5,0,1,1,0,4,5,0,24
,35,18,7,9,7,7,11,23,4,24,20,0,1,0,3,0,2,0,60,0,1,4,5,0,1,1,0,3,4,0,24
,33,2,5,4,3,2,5,24,16,4,12,1,0,0,2,0,2,0,59,0,0,3,4,0,25,0,1,3,4,0,1
,31,1,28,4,2,6,8,25,18,1,17,1,0,0,2,1,2,0,58,1,0,3,4,0,26,0,1,3,4,0,1
,2,18,5,10,2,2,5,26,1,1,0,1,0,0,1,0,1,0,30,1,0,2,3,0,27,0,1,2,3,0,1
,2,18,98,10,5,2,9,26,1,1,0,1,0,0,1,0,1,0,30,1,0,2,3,0,27,0,1,2,3,0,1
,30,18,28,2,1,2,8,26,27,0,27,1,0,0,2,0,2,0,58,1,0,3,4,0,27,0,1,3,4,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pit Overtake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff < ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InLap1_Pre = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Undercut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff < ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InLap2_Pre = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overcut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
